Iteration,Interval,Density
156000,6;6.5,41.9721
156000,6.5;7,35.3656
156000,7;7.5,29.562
156000,7.5;8,23.7368
156000,8;8.5,18.4931
156000,8.5;9,13.6704
156000,9;9.5,9.35775
156000,9.5;10,5.97731
156000,10;10.5,3.67129
156000,10.5;11,2.10401
156000,11;11.5,1.15296
156000,11.5;12,0.557859
156000,12;12.5,0.270413
156000,12.5;13,0.0861443
156000,13;13.5,0.0317252
156000,13.5;14,0.0126258
156000,14;14.5,0.00313477
156000,14.5;15,0
156000,15;15.5,0
156000,15.5;16,0
157000,0;0.5,0
157000,0.5;1,41.1984
157000,1;1.5,172.39
157000,1.5;2,112.94
157000,2;2.5,114.122
157000,2.5;3,99.5645
157000,3;3.5,91.6883
157000,3.5;4,81.0617
157000,4;4.5,73.2699
157000,4.5;5,63.9063
157000,5;5.5,56.863
157000,5.5;6,48.3238
157000,6;6.5,42.192
157000,6.5;7,34.8977
157000,7;7.5,29.4742
157000,7.5;8,23.6812
157000,8;8.5,18.6615
157000,8.5;9,13.554
157000,9;9.5,9.3187
157000,9.5;10,5.93881
157000,10;10.5,3.73187
157000,10.5;11,2.01451
157000,11;11.5,1.18942
157000,11.5;12,0.539417
157000,12;12.5,0.233298
157000,12.5;13,0.0871233
157000,13;13.5,0.0426025
157000,13.5;14,0.0092589
157000,14;14.5,0.00313477
157000,14.5;15,0
157000,15;15.5,0
157000,15.5;16,0
158000,0;0.5,0
158000,0.5;1,36.2873
158000,1;1.5,175.908
158000,1.5;2,113.662
158000,2;2.5,115.531
158000,2.5;3,100.236
158000,3;3.5,92.4402
158000,3.5;4,81.8188
158000,4;4.5,73.3844
158000,4.5;5,65.1748
158000,5;5.5,56.4303
158000,5.5;6,48.9877
158000,6;6.5,41.911
158000,6.5;7,35.5995
158000,7;7.5,29.223
158000,7.5;8,23.7077
158000,8;8.5,18.3973
158000,8.5;9,13.8137
158000,9;9.5,8.98024
158000,9.5;10,5.80155
158000,10;10.5,3.47591
158000,10.5;11,1.99936
158000,11;11.5,1.08129
158000,11.5;12,0.544028
158000,12;12.5,0.221633
158000,12.5;13,0.0861443
158000,13;13.5,0.0271931
158000,13.5;14,0.0117841
158000,14;14.5,0.00313477
