Iteration,Interval,Density
156000,6;6.5,42.1716
156000,6.5;7,35.4424
156000,7;7.5,29.1291
156000,7.5;8,23.5752
156000,8;8.5,18.2056
156000,8.5;9,13.1757
156000,9;9.5,9.0007
156000,9.5;10,5.56554
156000,10;10.5,3.4956
156000,10.5;11,1.96632
156000,11;11.5,1.0662
156000,11.5;12,0.538265
156000,12;12.5,0.235419
156000,12.5;13,0.0832076
156000,13;13.5,0.0308188
156000,13.5;14,0.0126258
156000,14;14.5,0.000783693
156000,14.5;15,0.000731467
156000,15;15.5,0
156000,15.5;16,0
157000,0;0.5,0
157000,0.5;1,48.565
157000,1;1.5,171.586
157000,1.5;2,113.353
157000,2;2.5,115.406
157000,2.5;3,100.005
157000,3;3.5,93.3275
157000,3.5;4,80.9713
157000,4;4.5,73.8332
157000,4.5;5,64.308
157000,5;5.5,56.4418
157000,5.5;6,49.0213
157000,6;6.5,42.2246
157000,6.5;7,35.1142
157000,7;7.5,29.3561
157000,7.5;8,23.6785
157000,8;8.5,18.3131
157000,8.5;9,13.6911
157000,9;9.5,9.17365
157000,9.5;10,5.66095
157000,10;10.5,3.61677
157000,10.5;11,2.04205
157000,11;11.5,1.12404
157000,11.5;12,0.542875
157000,12;12.5,0.264051
157000,12.5;13,0.0959335
157000,13;13.5,0.0280995
157000,13.5;14,0.00841719
157000,14;14.5,0.00156739
157000,14.5;15,0
157000,15;15.5,0
157000,15.5;16,0
158000,0;0.5,0
158000,0.5;1,42.5626
158000,1;1.5,171.686
158000,1.5;2,114.437
158000,2;2.5,117.535
158000,2.5;3,103.783
158000,3;3.5,93.1169
158000,3.5;4,83.7965
158000,4;4.5,74.0885
158000,4.5;5,64.8859
158000,5;5.5,57.8324
158000,5.5;6,49.4302
158000,6;6.5,42.2572
158000,6.5;7,35.5785
158000,7;7.5,29.2472
158000,7.5;8,23.3686
158000,8;8.5,18.0887
158000,8.5;9,13.3129
158000,9;9.5,8.97095
158000,9.5;10,5.64421
158000,10;10.5,3.37292
158000,10.5;11,1.91812
158000,11;11.5,1.01968
158000,11.5;12,0.464498
158000,12;12.5,0.19194
158000,12.5;13,0.0655872
158000,13;13.5,0.0172223
158000,13.5;14,0.0092589
158000,14;14.5,0.00156739
158000,14.5;15,0
158000,15;15.5,0
158000,15.5;16,0
159000,0;0.5,0
159000,0.5;1,46.3823
159000,1;1.5,173.295
159000,1.5;2,112.114
159000,2;2.5,115.687
159000,2.5;3,99.8584
159000,3;3.5,90.5604
159000,3.5;4,81.6606
159000,4;4.5,71.7033
159000,4.5;5,63.7442
159000,5;5.5,56.211
159000,5.5;6,48.853
159000,6;6.5,41.5405
159000,6.5;7,35.6903
159000,7;7.5,29.5166
159000,7.5;8,23.5143
159000,8;8.5,18.5633
159000,8.5;9,13.5872
159000,9;9.5,9.4061
159000,9.5;10,5.89194
159000,10;10.5,3.6516
159000,10.5;11,2.17148
159000,11;11.5,1.12907
159000,11.5;12,0.612031
159000,12;12.5,0.269353
159000,12.5;13,0.114533
159000,13;13.5,0.0398832
159000,13.5;14,0.0126258
159000,14;14.5,0.00235108
159000,14.5;15,0.000731467
159000,15;15.5,0
159000,15.5;16,0
160000,0;0.5,0
160000,0.5;1,45.0181
160000,1;1.5,167.364
160000,1.5;2,114.179
160000,2;2.5,111.241
160000,2.5;3,97.6547
160000,3;3.5,89.5829
160000,3.5;4,79.4343
160000,4;4.5,71.8442
160000,4.5;5,62.5743
160000,5;5.5,55.7898
160000,5.5;6,47.5011
160000,6;6.5,41.8377
160000,6.5;7,35.1561
160000,7;7.5,29.7133
160000,7.5;8,23.6309
160000,8;8.5,19.1266
160000,8.5;9,14.0257
160000,9;9.5,9.60323
160000,9.5;10,6.30706
160000,10;10.5,3.76671
160000,10.5;11,2.24859
160000,11;11.5,1.22714
160000,11.5;12,0.5982
160000,12;12.5,0.278897
160000,12.5;13,0.105723
160000,13;13.5,0.0389767
160000,13.5;14,0.0159927
160000,14;14.5,0.00235108
160000,14.5;15,0.00146293
160000,15;15.5,0
