Iteration,Bin,Density,Velocity X,Velocity Y,Velocity Z
20000,28,0.550926,-0.447902,-7.31269,0.438507
20000,29,0.546296,-0.113105,-7.57687,-0.18036
20000,30,0.574074,-0.430915,-7.21019,-1.47653
20000,31,0.587963,0.0211016,-5.86203,0.123939
20000,32,0.615741,0.300785,-6.46015,-0.311471
20000,33,0.560185,-0.0977981,-6.48002,0.134099
20000,34,0.648148,-0.0374939,-5.62399,-0.675626
20000,35,0.62037,0.861292,-6.75341,1.36597
20000,36,0.578704,-0.476507,-6.18312,0.59924
20000,37,0.574074,0.33509,-6.32321,-0.152445
20000,38,0.592593,-0.359689,-5.3268,0.214253
20000,39,0.537037,-0.417377,-4.79707,-0.636703
20000,40,0.611111,0.321067,-4.68148,-0.853059
20000,41,0.537037,-1.05356,-4.27746,-1.277
20000,42,0.527778,-0.209754,-4.07051,-0.276497
20000,43,0.722222,0.273505,-3.12727,-0.156807
20000,44,0.0694444,-0.538865,0.53267,1.21172
20000,45,1.66667,0,0,0
20000,46,-,-,-,-
20000,47,1.66667,0,0,0
20000,48,-,-,-,-
20000,49,-,-,-,-
30000,0,-,-,-,-
30000,1,1.66667,0,0,0
30000,2,-,-,-,-
30000,3,1.66667,0,0,0
30000,4,0.310185,-0.364736,-4.10196,-0.110664
30000,5,0.611111,0.33615,-3.27297,0.889396
30000,6,0.597222,-0.945754,-3.91163,0.87291
30000,7,0.537037,-0.820494,-5.80702,0.179818
30000,8,0.578704,0.245624,-5.98865,0.834332
30000,9,0.615741,-0.0296067,-5.83808,0.194455
30000,10,0.625,0.454625,-7.32944,-0.449371
30000,11,0.5,-0.242147,-7.02224,-0.443538
30000,12,0.625,0.110677,-7.33044,0.366198
30000,13,0.597222,0.482112,-8.34496,-0.287872
30000,14,0.583333,0.635721,-8.24437,0.0365308
30000,15,0.62963,-0.277356,-8.87793,-0.31549
30000,16,0.592593,-0.414897,-9.66107,0.335977
30000,17,0.537037,0.0912618,-8.18833,0.281051
30000,18,0.597222,-0.0188814,-9.15683,-0.44844
30000,19,0.662037,0.0232439,-8.78315,1.03552
30000,20,0.564815,0.259866,-10.3052,0.512482
30000,21,0.550926,-0.28255,-9.52671,-0.154692
30000,22,0.583333,-0.412062,-10.2857,1.10222
30000,23,0.625,-0.291869,-9.96308,-0.360581
30000,24,0.634259,0.450751,-10.0218,-0.0537075
30000,25,0.523148,0.373873,-9.07923,-0.775745
30000,26,0.643519,-1.20455,-9.72487,-0.328769
30000,27,0.578704,-0.367709,-9.6269,1.03402
